datetime,millis,device_id,library_version,battery_voltage,temperature_c,pressure_hpa,humidity_percent,lux,activity_count,activity_percent,inactivity_period_s,inactivity_count,inactivity_percent,min_free_heap,reboot,BEAM,file_date,source_file,Mouse_ID
2025-11-15 00:06:22,3653,6,2.1.0,4.076,22.68,989.99,62.71,0.0,17,0.028,40,13,0.968,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 00:16:25,3654,6,2.1.0,4.075,22.73,990.07,63.38,0.0,64,0.106,40,11,0.873,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 00:26:28,3654,6,2.1.0,4.075,22.75,989.85,63.4,0.0,2,0.003,40,13,0.996,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 00:36:30,3654,6,2.1.0,4.076,22.86,989.45,64.56,0.0,181,0.301,40,4,0.469,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 00:46:33,3654,6,2.1.0,4.077,22.87,989.25,63.4,0.0,158,0.263,40,7,0.639,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 00:56:36,3654,6,2.1.0,4.075,22.85,989.49,63.09,0.0,21,0.035,40,13,0.961,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 01:06:39,3654,6,2.1.0,4.075,22.84,989.47,62.71,0.0,0,0.0,40,14,1.0,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 01:16:42,3654,6,2.1.0,4.075,22.88,989.4,62.79,0.0,71,0.118,40,11,0.861,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 01:26:45,3656,6,2.1.0,4.077,22.92,989.4,63.38,0.0,86,0.143,40,11,0.837,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 01:36:48,3654,6,2.1.0,4.076,22.88,989.23,63.0,0.0,1,0.002,40,14,0.998,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 01:46:51,3653,6,2.1.0,4.074,22.86,989.18,62.34,0.0,0,0.0,40,14,1.0,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 01:56:53,3652,6,2.1.0,4.075,22.85,989.11,62.36,0.0,34,0.057,40,12,0.934,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 02:06:56,3654,6,2.1.0,4.076,22.85,989.02,63.22,0.0,85,0.142,40,10,0.825,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 02:16:58,3655,6,2.1.0,4.076,22.88,988.82,63.14,0.0,90,0.15,40,10,0.816,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 02:27:01,3653,6,2.1.0,4.075,22.83,988.74,62.08,0.0,0,0.0,40,14,1.0,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 02:37:04,3653,6,2.1.0,4.075,22.81,988.77,61.73,0.0,1,0.002,40,14,0.998,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 02:48:04,3656,6,2.1.0,4.073,23.01,988.68,61.6,0.0,50,0.084,40,11,0.898,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 02:58:07,3654,6,2.1.0,4.073,22.96,988.56,62.4,0.0,43,0.072,40,12,0.918,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 03:08:10,3654,6,2.1.0,4.073,22.95,988.45,62.14,0.0,87,0.145,40,9,0.805,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 03:18:13,3652,6,2.1.0,4.074,22.92,988.46,61.19,0.0,0,0.0,40,14,1.0,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 03:28:15,3654,6,2.1.0,4.074,22.88,988.55,61.4,0.0,25,0.042,40,13,0.954,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 03:38:19,3654,6,2.1.0,4.074,22.88,988.49,62.19,0.0,31,0.051,40,13,0.944,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
2025-11-15 03:48:22,3653,6,2.1.0,4.074,22.86,988.24,61.87,0.0,9,0.015,40,14,0.984,265096,0,006,2025-11-15,BEAM006_2025111500.csv,ChocoHFD_001_6
